userId,companyId,rating,timestamp
1,1,5,847435258
1,2,4,845553522
1,3,1,845554296
2,1,4,845554349
2,3,5,845553938
2,4,4,845553757
3,1,3,845554264
3,2,3,845555281
4,3,5,845553489
4,1,4,964982703
5,3,4,964981247
5,6,4,964982224
6,5,5,964983815
6,2,5,964982931
6,7,3,964982400
7,3,5,964980868
7,1,4,964982176
7,2,5,964984041
8,4,5,964984100
8,2,5,964983650
9,6,5,964981208
9,5,3,964980985
10,2,5,964981179
10,6,4,964980908
10,10,5,964981680
11,2,3,964982967
11,16,3,964982310
11,3,3,964981179
12,9,4,964982563
12,6,4,964980962
12,2,5,964982588
12,7,4,964981710
12,4,3,964982363
12,1,4,964980868
13,4,5,964981909
13,8,4,964982346
13,5,3,964981208
13,7,5,964984002
14,5,4,964981179
14,2,4,964982653
14,3,2,964984153
14,9,4,964982546
14,1,4,964982271
14,4,4,964983793
14,6,5,964982838
14,7,5,964982931
14,8,3,964982563
14,10,5,964982838
14,11,3,964981775
14,16,4,964982400
14,14,3,964982653
15,10,3,964984086
15,4,4,964980499
15,9,5,964982475
15,23,5,964981529
15,22,5,964982176
15,3,4,964983614
15,14,5,964983219
16,11,3,964981775
16,3,5,964982681
16,1,5,964982876
16,5,5,964982791
16,9,5,964982855
16,30,3,964982903
16,1,5,964982653
16,12,5,964982791
16,12,4,964981179
16,19,5,964982400
16,6,4,964980924
17,12,5,964981680
17,10,5,964981327
17,19,5,964982951
17,1,4,964984018
17,2,5,964983484
17,16,2,964983393
17,20,5,964981909
17,22,5,964981909
17,24,1,964984018
17,26,5,964983618
18,5,5,964983723
18,6,5,964981442
18,8,3,964983414
18,12,4,964983599
18,17,1,964983705
18,15,5,964982290
18,18,5,964983414
18,1,5,964982703
18,11,5,964981909
18,18,5,964984086
19,8,4,964983393
19,17,2,964982653
19,6,3,964983017
19,18,3,964982310
19,15,3,964984112
19,13,4,964980875
19,10,2,964980985
19,15,5,964981107
19,12,4,964982620
19,13,5,964982290
20,1,3,964981125
20,15,1,964982346
20,7,5,964982951
20,2,4,964983056
20,5,5,964983504
20,14,3,964983536
20,16,3,964982620
20,12,1,964981125
20,17,4,964981230
20,13,4,964981404
21,4,2,964983034
21,5,4,964983056
21,10,4,964981780
21,7,3,964981497
21,4,5,964982176
21,17,4,964981710
21,20,4,964982211
21,25,5,964981710
21,22,2,964984176
21,21,5,964980523
22,28,4,964981888
22,30,5,964982903
22,26,4,964982563
22,28,5,964982791
22,25,4,964981747
22,2,5,964982400
22,8,1,964982838
22,9,5,964982838
22,23,3,964981710
22,4,5,964982653
23,6,4,964982838
23,19,1,964982588
23,5,4,964981725
23,2,3,964982529
23,1,2,964982876
23,13,5,964982791
23,21,1,964982791
23,11,5,964982838
23,16,4,964981725
23,15,2,964981710
